ja	ている	compounds	1	3	0	18062
ja	その	compounds	1	3	1	16781
ja	この	compounds	1	3	1	11140
ja	まし	compounds	1	3	12	10594
ja	んだ	compounds	1	3	0	10161
ja	から	compounds	1	3	4	8565
ja	んで	compounds	1	3	0	5821
ja	てく	compounds	1	3	0	5323
ja	はい	compounds	1	3	19	4960
ja	てる	compounds	1	3	1	4452
ja	では	compounds	1	3	0	4150
ja	まで	compounds	1	3	0	3788
ja	である	compounds	1	3	0	3772
ja	自分	noun	1	3	16	3575
ja	はあ	compounds	1	3	0	3543
ja	でも	compounds	1	3	0	3462
ja	一	noun	1	3	9	3288
ja	ても	compounds	1	3	0	3028
ja	もう	adverb	1	3	0	3017
ja	のです	compounds	1	3	0	3004
ja	とても	adverb	1	3	1	2987
ja	ので	compounds	1	3	0	2965
ja	という	compounds	1	3	0	2685
ja	より	compounds	1	3	0	2653
ja	今	noun	1	3	9	2577
ja	日本	noun	1	3	11	2551
ja	のに	compounds	1	3	0	2533
ja	あの	compounds	1	3	0	2492
ja	について	compounds	1	3	0	2447
ja	ために	compounds	1	3	0	2352
ja	今日	noun	1	3	21	2303
ja	ここ	compounds	1	3	7	2257
ja	のだ	compounds	1	3	0	2229
ja	よく	adverb	1	3	0	2169
ja	だけ	compounds	1	3	0	2163
ja	んです	compounds	1	3	0	2084
ja	として	compounds	1	3	0	2020
ja	前	noun	1	3	21	1959
ja	いつも	compounds	1	3	5	1930
ja	メアリー	noun	1	3	9	1921
ja	中	noun	1	3	16	1920
ja	じゃ	compounds	1	3	0	1899
ja	そんな	compounds	1	3	10	1895
ja	ではない	compounds	1	3	0	1768
ja	主義	noun	1	3	7	1747
ja	すぐ	adverb	1	3	14	1680
ja	フランス	noun	1	3	6	1664
ja	まだ	adverb	1	3	7	1623
ja	なく	adjective	1	3	13	1549
ja	語	noun	1	3	18	1491
ja	英語	noun	1	3	12	1490
ja	何	noun	1	3	0	1468
ja	なければならない	compounds	1	3	0	1455
ja	新しい	adjective	1	3	10	1407
ja	手	noun	1	3	5	1398
ja	そう	compounds	1	3	0	1383
ja	ほど	compounds	1	3	0	1371
ja	世界	noun	1	3	8	1368
ja	なさい	verb	1	3	7	1367
ja	目	noun	1	3	7	1333
ja	母	noun	1	3	13	1282
ja	度	noun	1	3	11	1272
ja	多く	noun	1	3	1	1258
ja	間	noun	1	3	16	1247
ja	明日	noun	1	3	9	1232
ja	もっと	adverb	1	3	5	1221
ja	そこ	compounds	1	3	5	1186
ja	どんな	compounds	1	3	4	1157
ja	とも	compounds	1	3	0	1153
ja	なんて	compounds	1	3	1	1119
ja	二	noun	1	3	0	1113
ja	うち	noun	1	3	7	1088
ja	部屋	noun	1	3	19	1080
ja	昨日	noun	1	3	15	1073
ja	しまっ	verb	1	3	15	1044
ja	みんな	noun	1	3	11	1028
ja	すべて	noun	1	3	18	1012
ja	父	noun	1	3	10	982
ja	ですが	compounds	1	3	0	979
ja	くらい	compounds	1	3	0	975
ja	すると	compounds	1	3	0	971
ja	水	noun	1	3	20	947
ja	ちょっと	adverb	1	3	6	945
ja	国際	noun	1	3	1	931
ja	他	noun	1	3	3	925
ja	月	noun	1	3	18	919
