ください	1932765896	ja	en	2つください。	Let me get two.	Let's find out!	Let's get married.	Let's plan it.	Yes, let's go!	Yes, let's go get some!	Yes, let’s do it!
ください	3647924168	ja	en	３個ずつください。	I'll take three of each kind.	I've missed the 7 o'clock train.	I shouldn't have believed them.	I will take three of each kind.	I want you to sit with me.	Yanni and Skura were both kind.	We'll look into the matter.
ください	1288272460	ja	en	私にハンバーガーをください。	Please give me a hamburger.	I only wanted a hamburger.	Please give me your number.	Ziri gave Rima a burger.	OK, let's do that.	Please leave everything to us.	My bike is a cheeseburger.
ください	2302268484	ja	en	撃たないでください！	Don't shoot!	I shoot fast.	Take the shot!	Don't procrastinate.	Don't move.	Don't enroll.	Don't drive!
ください	3205913585	ja	en	石けんをください。	I need some soap.	He discovered the truth.	There's no soap.	He ate the bread.	I need a cop.	We wash with soap.	I forgot my money.
ください	3647924168	ja	en	３個ずつください。	Please give me three of each kind.	Give my book back to me.	Can you give me a hand here?	He didn't give it to me.	Please excuse me for being late.	Give me a minute, would you?	Please explain what needs to be done.
ください	1384203665	ja	en	水をください。	Give me some water, please.	Please give this to her.	Give Ziri all four choices.	What can I give you?	Give me overseas service, please.	Let me stay here please.	Just give me a price.
ください	1384203665	ja	en	水をください。	Can I have some water, please?	Do you have a headache again?	Do you have your mobile with you?	Do you know how tall Tom is?	Can I have the key now, please?	Can I play you a song?	Can you find me Tom's address?
ください	1396145558	ja	en	ダイキリをください。	I'd like a daiquiri.	I've done something wrong.	They will bury us all.	They don't like cats.	I wouldn't recommend that.	I will remove the ceiling.	I hope everyone understands that.
ください	2287375822	ja	en	私にお付き合いください。	Please come with me.	They've come back.	Please sing with me.	Eat here with me.	Please pray for me.	Please keep my secret!	We'll come together.
ください	2471109558	ja	en	大人２枚ください。	Two adults, please.	Two tickets, please.	A shave, please.	Two hornbills arrived.	One minute please.	Two coffees, please.	Two soufflés, please.
ください	2873932655	ja	en	辞めないでください。	Please don't quit.	Please clap for me.	I wanted to quit.	Please don't apologize.	Tom wouldn't quit.	Have you quit already?	Please, make yourself comfortable.
ください	3610849163	ja	en	動かないでください。	Don't move, please.	Don't sit down.	Don't wait here.	Don't be ridiculous!	Do not eat donuts!	Don't skip classes.	Let us in, please.
ください	3647924168	ja	en	３個ずつください。	I'll take three of each sort.	They're going to torture Tom.	I'm waiting for help myself.	I'll get it back from them.	Tom and I tolerate each other.	Tom and I complement each other.	I could force you to do that.
ください	1384203665	ja	en	水をください。	Water, please.	A lot.	Drop it.	Bring mangos.	Skip class.	Mary agreed.	I squinted.
ください	1341514209	ja	en	ビールを２つください。	Two beers, please.	Once more, please.	Two colas, please.	Answer Tom, please.	Turn right, please.	Two coffees, please.	Two souls intertwined.
ください	1384203665	ja	en	水をください。	Some water, please.	Some raindrops fell.	Another pillow, please.	Water the garden.	Cold water, please.	The soap, please.	Some fish fly.
ください	1384203665	ja	en	水をください。	Please give me some water.	Please do that very carefully.	Give Tom whatever he wants.	Give people what they want.	Please drive me back home.	Please show me those pictures.	Please turn off the gas.
ください	2464204985	ja	en	急がないでください。	Don't rush it.	Do we need ice?	Do you sing?	Don't worry!	Let's not rush into anything.	What about in spring?	What time did it start?
ください	1555718003	ja	en	何か飲物をください。	Please give me something to drink.	Please write down what I say.	Give me something nice to drink.	Tom bought me something to drink.	Please get me something to drink.	Please tell us how to do it.	Sami was trying to please Layla.
ください	2203321589	ja	en	私にお便りください。	Drop me a line.	Give me that weapon.	Did you drop it?	Drop by next week.	I'm so alone.	Give them some privacy.	She's got none.
ください	2203321589	ja	en	私にお便りください。	Please write to me.	No one followed me.	Come with me, please.	Please vote for me.	Write down your needs.	Please write this down.	Please come on time.
ください	156319767	ja	en	お楽しみください！	Enjoy yours!	2 pm.	Oh cool.	The Patriots.	We will!	Who sang?	Who won?
ください	2471109558	ja	en	大人２枚ください。	Two adult tickets, please.	Two weeks went by.	One citron tea, please!	Two tickets to Boston.	Carry on reading, please.	Two days had passed.	Pass the mustard, please.
ください	2757096601	ja	en	ベーグルを１つください。	One bagel, please.	Three coffees, please.	One never knows.	One coffee, please.	One beer, please!	Two adults, please.	One is missing.
ください	2772256592	ja	en	私にも同じものをください。	Give me the same, please.	Pass me the pepper, please.	Turn on the radio, please.	Give me your telephone number.	Give me your hand, Mennad.	I will never give up!	Two slices of pizza please.
ください	3452711618	ja	en	忘れないでください。	Please do not forget.	Oh, don't bother.	Please don't push.	She missed a target.	We will never forget.	I never forget too.	You forget to pay.
ください	3579152783	ja	en	それを私にください。	Give it to me, please.	Give her something to drink.	Just give it to him.	Give me the ballpoint pen.	Never, never, never give up.	Give me one last chance!	Take me to him, please.
ください	3610849163	ja	en	動かないでください。	Please don't move.	Please come on board.	Please don't argue.	They couldn't move.	Oh, don't apologize.	Please don't interfere.	Please don't die!
ください	3679553159	ja	en	私をからかわないでください。	Don't make sport of me.	You're a part of me.	Do any of you know him?	Do both of you know Tom?	Tom was in front of me.	Don't give away too much.	Tom didn't make his intentions clear.
見	4284414025	ja	en	見ててよ。	Look!	Alrighty!	Ketchup.	Mummies?	Tapas?	Three.	Wow!
見	502464473	ja	en	僕らは見てません。	We're not watching.	They weren't ready.	We haven't started.	Everybody is watching you.	He won't do.	Everyone is watching him.	Let's go hiking.
