おはよう	1094191284	ja	en	おはよう！	Good morning!	You shithead!	Pua sings.	Morning, sleepyhead!	Everyone attended.	They confessed.	If only!
おはよう	990717638	ja	en	やぁ、トム。おはよう。	Hello, Tom. Good morning.	Morning is never good.	Good morning, your excellence!	The spruce is returning.	Tom shaves every morning.	Tom has been convicted.	Hi, Tom. Good morning!
おはよう	2548321059	ja	en	おはよう、ウィリアム！	Good morning, William!	Every Sunday morning.	Good baking, Lily!	Good fuel for the body.	Good luck with that!  	Good morning, Kevin!	I love you, William.
おはよう	1111708082	ja	en	おはよう、ベンジャミン。	Morning, Benjamin.	Hi, Laura.	I see.	Like Bixby?	Sounds perfect.	Whoa, really?
おはよう	2685352875	ja	en	皆さんおはよう。	Good morning, everyone.	Good morning, Mike.	Good morning. "Coffee."	Sami fooled everyone.	Good job, everybody.	He criticizes everyone.	Good morning, baby.
おはよう	3761005663	ja	en	おはよう、ミラ！	Morning, Mila!	Chips, please.	Me three!	Pop music.	Star Wars!	The Avengers.	Very good.
おはよう	3785569186	ja	en	おはよう、マイク。	Good morning, Mike.	Best regards, Silja.	Good to know.	Mike likes cats.	Good job, everybody.	Good morning, baby.	Good morning, Mom.
おはよう	3816760935	ja	en	おはよう諸君。	Good morning, everyone.	Good morning, Mike.	Good morning. "Coffee."	Sami fooled everyone.	Good job, everybody.	He criticizes everyone.	Good morning, baby.
おはよう	65573135	ja	en	おはよう、ケビン！	Good morning, Kevin!	Every Sunday morning.	Good morning, Eva!	Good morning, William!	Good to hear that.	Me too, Kevin.	Yes... me too, Kevin.
おはよう	2257534850	ja	en	おはよう、ダイアナ！	Morning, Diana!	No, seriously.	Not true.	See you!	Thanks, Oscar!	Thanks, William!	That works.
おはよう	4270994480	ja	en	お母さん、おはよう。	Good morning, Mom.	Good. No absentees.	Good morning, Algeria.	Good evening, ladies.	Good morning, princess.	Good morning. "Coffee."	Good morning. "Morning."
おはよう	2524584358	ja	en	おはよう。起きる時間だよ。	Good morning. It's time to get up.	Good thing all the passengers were wearing seat belts.	Last year I met a pretty Swedish dancer.	It's rare to find big yards in Japan.	What time did you go to sleep this morning?	He fell down, he did not get up.	Morning is my favorite time of the day.
おはよう	721729496	ja	en	おはよう。よく眠れた？	Good morning. Did you sleep well?	Most politicians are lying shitty people.	I've had a good sleep.	Good thing you're doing better.	Long skirts are out of fashion now.	Nothing beats a good night's sleep.	Sulfuric acid is stronger than acetic acid.
おはよう	999876716	ja	en	おはよう！どこ行きたい？	Good morning! Where do you want to go?	Just how far back do you want to go?	He doesn't want to pay for the food.	I want a person who can speak French.	I want my kids to be good at Berber.	Good care should be taken of the pearl.	I don't want to run into Tom today.
おはよう	841672396	ja	en	先生、おはようございます！	Good morning, doctor!	Good morning, Algeria.	Good night, Daddy.	Good night, Dan.	Good morning, honey.	Good job, guys!	Good morning, Mama.
おはようございます	34542788	ja	en	おはようございます。	Good morning.	Yanni called.	Stuff it.	Everybody smiled.	Hey, Jim!	I sobbed.	Lorenzo shivered.
おはようございます	4083747685	ja	en	皆さん、おはようございます。	Good morning, everyone.	Good morning, Mike.	Good morning. "Coffee."	Sami fooled everyone.	Good job, everybody.	He criticizes everyone.	Good morning, baby.
おはようございます	841672396	ja	en	先生、おはようございます！	Good morning, doctor!	Good morning, Algeria.	Good night, Daddy.	Good night, Dan.	Good morning, honey.	Good job, guys!	Good morning, Mama.
おはようございます	4183162688	ja	en	おはようございます、エヴァ！	Good morning, Eva!	Every Sunday morning.	Good baking, Lily!	Good luck with that!	Thanks for listening, Eva.	What a morning	You are brave, Eva.
おはようございます	4083747685	ja	en	皆さん、おはようございます。	Good morning, everybody.	Everybody knows everybody.	Good to know.	Good morning, handsome.	Good afternoon, everybody.	Good morning, everyone!	Good morning, Mike.
おはようございます	2817240098	ja	en	皆様、おはようございます。	Good morning, everyone.	Good morning, Mike.	Good morning. "Coffee."	Sami fooled everyone.	Good job, everybody.	He criticizes everyone.	Good morning, baby.
おはようございます	3525454926	ja	en	お姫さま、おはようございます。	Good morning, princess.	Good morning, Tom.	Good luck, campaigners!	Good afternoon, everyone.	Good night, Daddy.	Good morning. "Morning."	Hi! Good morning!
おはようございます	1581790150	ja	en	おはようございます。おめざめの時間です。	Good morning. It's time to wake up.	Several times, he turned to look at her.	Good people are similar to a warm sun.	Good help is hard to find these days.	Good evening. I'd like a glass of milk.	There's no better pillow than his chest.	This is not a good time to hang out.
おはようございます	159097152	ja	en	おはようございます。よく寝れましたか？	Good morning. Did you sleep well?	Most politicians are lying shitty people.	I've had a good sleep.	Good thing you're doing better.	Long skirts are out of fashion now.	Nothing beats a good night's sleep.	Sulfuric acid is stronger than acetic acid.
こんにちは	2832406136	ja	en	こんにちは。	hello	author	except	knowledge	parts	plus	spent	track
